id,catId,title,status,owner,dueDate,startDate,documentUrl,refUrl,notes
1.1,1,จัดทำแผนแม่บท IT สำเร็จ (มีสารบัญ เลขหน้า แผนยุทธศาสตร์ และแผนปฏิบัติการประจำปี),not_started,งานแผน + IT,2569-04-13,2569-02-17,,https://w2.med.cmu.ac.th/nd/ha-it/,
1.2,1,แสดงการเชื่อมโยงยุทธศาสตร์โรงพยาบาล ผ่านการวิเคราะห์ปัจจัยแห่งความสำเร็จมาสู่ยุทธศาสตร์ IT,not_started,งานแผน + IT,2569-04-13,2569-02-17,,https://w2.med.cmu.ac.th/nd/ha-it/,
1.3,1,สรุปยุทธศาสตร์ IT ทุกข้อ ที่ถ่ายทอดลงไปเป็นแผนปฏิบัติการ (โครงการต่างๆ),not_started,งานแผน + IT,2569-04-13,2569-02-17,,https://w2.med.cmu.ac.th/nd/ha-it/,
1.4,1,จัดทำแผนปฏิบัติการของปีปัจจุบัน กำหนดระยะเวลาดำเนินโครงการ งบประมาณ ผู้รับผิดชอบ,not_started,งานแผน + IT,2569-04-13,2569-02-17,,https://w2.med.cmu.ac.th/nd/ha-it/,
2.1,2,จัดทำแผนจัดการความเสี่ยงสำเร็จ (มีสารบัญ เลขหน้า ผลการประเมินจุดอ่อน/ช่องโหว่),not_started,IT + งาน RM,2569-04-27,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
2.2,2,การให้คะแนนความเสี่ยงถูกต้อง ทั้งคะแนน P และ I ไม่นำอุบัติการณ์ที่เกิดขึ้นแล้วมานับ,not_started,IT + งาน RM,2569-04-27,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
2.3,2,จัดทำแผนกลยุทธ์จัดการความเสี่ยง โดยแยกเป็น 4 ตาราง จำแนกตามกลยุทธ์จัดการ,not_started,IT + งาน RM,2569-04-27,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
2.4,2,จัดทำแผนปฏิบัติการความเสี่ยงของปีปัจจุบัน กำหนดระยะเวลา งบประมาณ ผู้รับผิดชอบ,not_started,IT + งาน RM,2569-04-27,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
2.5,2,แสดงผลการดำเนินงานอย่างน้อย 1 ครั้ง โดยเปรียบเทียบคะแนนความเสี่ยงก่อนและหลัง,not_started,IT + งาน RM,2569-04-27,2569-02-17,,https://www.banbunghospital.com/hait-2025/,
3.1,3,จัดทำนโยบายด้านความมั่นคงปลอดภัย และนโยบาย PDPA สำเร็จ,not_started,IT ทั้งหมด,2569-05-25,2569-03-17,,https://it.sarapeehospital.go.th/,
3.2,3,จัดทำระเบียบปฏิบัติด้านความมั่นคงปลอดภัยที่สำคัญสำหรับบุคลากรทุกคน,not_started,IT ทั้งหมด,2569-05-25,2569-03-17,,https://it.sarapeehospital.go.th/,
3.3,3,ดำเนินการประเมินการรับรู้ เข้าใจ และปฏิบัติตามระเบียบกับบุคลากรทุกคน 100%,not_started,IT ทั้งหมด,2569-05-25,2569-03-17,,https://www.banbunghospital.com/hait-2025/,
3.4,3,ปรับปรุงห้อง Data Center ตามหัวข้อในคู่มือ HAIT ข้อ A B C D เสร็จสิ้นทุกข้อ,not_started,IT ทั้งหมด,2569-05-25,2569-03-17,,https://tmi.or.th/wp-content/uploads/2026/01/Document_HAIT_HAITStarV1.pdf,
3.5,3,จัดทำแผน BCP ของทุกหน่วยงานที่ใช้ระบบ HIS เสร็จสิ้น โดยมีรายละเอียดขั้นตอนการปฏิบัติ,not_started,IT ทั้งหมด,2569-05-25,2569-03-17,,https://www.vachiraphuket.go.th/hait/,
3.6,3,วางระบบการ Backup Offline และจัดทำคู่มือการปฏิบัติงาน Backup Offline ทุกฐานข้อมูล,not_started,IT ทั้งหมด,2569-05-25,2569-03-17,,https://www.banbunghospital.com/hait-2025/,
3.7,3,ดำเนินการซ้อมแผน BCP โดยตรวจสอบขั้นตอน จับเวลา มีรายงานผล,not_started,IT ทั้งหมด,2569-05-25,2569-03-17,,https://www.vachiraphuket.go.th/hait/,
3.8,3,นำผลการซ้อมแผน BCP มาปรับปรุงให้แผนดีขึ้น อย่างน้อย 1 รอบ PDCA,not_started,IT ทั้งหมด,2569-05-25,2569-03-17,,https://www.vachiraphuket.go.th/hait/,
4.1,4,วางระบบ Service Desk ให้ชัดเจน เรื่องจุดติดต่อ ช่องทางติดต่อ ผู้รับเรื่อง,not_started,IT + งาน HA,2569-05-25,2569-03-17,,https://www.banbunghospital.com/hait-2025/,
4.2,4,จัดทำ SLA โดยให้น้ำหนักกับการบริการผู้ป่วยไม่ให้ติดขัด รับประกันเวลา,not_started,IT + งาน HA,2569-05-25,2569-03-17,,https://www.banbunghospital.com/hait-2025/,
4.3,4,วางระบบบันทึกอุบัติการณ์ ให้มีหัวข้อครบตามคู่มือ HAIT กำหนดผู้รับผิดชอบ,not_started,IT + งาน HA,2569-05-25,2569-03-17,,https://www.banbunghospital.com/hait-2025/,
4.4,4,ดำเนินการบันทึกอุบัติการณ์ ให้มีจำนวนไม่น้อยกว่าร้อยละ 50 ของจำนวนเหตุการณ์จริง,not_started,IT + งาน HA,2569-05-25,2569-03-17,,https://www.banbunghospital.com/hait-2025/,
